shipment_key,target_location_code,category,hardware_type,model,quantity,serial_numbers,source_ref,status
SHIP-62603311C5,VO04,POS,Pole Display,Pole Display,1,D190928010054,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=5,PLANNED
SHIP-27F3A6568E,VO04,Network,Switch,Switch Ubiquiti UniFi Switch 24 PoE (USW-24-PoE),1,817882028523,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=6,PLANNED
SHIP-6D0AE3453E,VO04,Network,Firewall,Fortigate FG-60F - 3 Year UTP license,1,FGT60FTK25056910,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=7,PLANNED
SHIP-6F302E5F1F,VO04,POS,Monitor,Monitor HP V190,1,1CR82307CY,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=8,PLANNED
SHIP-2D7E6B6331,VO04,POS,Monitor,Monitor HP V190,1,1CR82307D4,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=9,PLANNED
SHIP-7720774AA8,VO04,POS,Bill printer,"Printer Cashier - Thermal Star printer MCP31L, USB",1,2580022120601400,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=10,PLANNED
SHIP-EEA0B921E3,VO04,POS,Bill printer,Epson TM-82III,1,X7BA014973,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=11,PLANNED
SHIP-B3F3CE7690,VO04,POS,Scanner,Scanner Wireless DS2278,1,22136523423466,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=12,PLANNED
SHIP-64BB1D10F1,VO04,POS,Scanner,Scanner Wireless DS2278,1,22007523408905,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 2 (VO04) !row=13,PLANNED
SHIP-B4AB317AB3,VO04,Network,Access Point,Unibiti UAP nanohd wifi,1,9041B204B634,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 3 (VO04) !row=3,PLANNED
SHIP-FBB6E840FC,VO04,Network,Access Point,Unibiti UAP nanohd wifi,1,A89C6CD23F84,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 3 (VO04) !row=4,PLANNED
SHIP-6D2C7A2A37,VO04,POS,PC Workstation,Máy tính trạm Dell Precision 3680 Tower,1,JVX97G4,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 3 (VO04) !row=5,PLANNED
SHIP-FE3D6919FD,VO04,POS,Monitor,Monitor HP V22,1,CN41383K50,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 3 (VO04) !row=6,PLANNED
SHIP-7864467F59,VO04,POS,Mouse,Mouse,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 3 (VO04) !row=7,PLANNED
SHIP-28FCF823B6,VO04,POS,Keyboard,Keyboard,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#Thùng 3 (VO04) !row=8,PLANNED
SHIP-D483838672,VH04,POS,Mini Pc,HP Prodesk 400 G7,1,4CE234DC5T,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VH04 SKETCHER AEON HA DONG!row=2,PLANNED
SHIP-66D47982E7,VH04,POS,Keyboard,Keyboard,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VH04 SKETCHER AEON HA DONG!row=3,PLANNED
SHIP-44C68A6917,VH04,POS,Mouse,Mouse,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VH04 SKETCHER AEON HA DONG!row=4,PLANNED
SHIP-E2E7430E09,VH04,POS,Cash Drawer,Maken 410,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VH04 SKETCHER AEON HA DONG!row=5,PLANNED
SHIP-05E85D916B,VH04,POS,Pole Display,Pole Display VFD,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VH04 SKETCHER AEON HA DONG!row=6,PLANNED
SHIP-C72625E275,VH04,POS,Scanner,Datalogic QW2100,1,,Audit 2026 device/Data store/New Store 2026/Operation device for plan new store.xlsx#VH04 SKETCHER AEON HA DONG!row=7,PLANNED
